student_id;term;course_id;grade
20220631;2022_Fall;11102;86
20220631;2023_Spring;11103;83
20220631;2023_Fall;11212;80
20220631;2024_Spring;11313;78
20220631;2024_Fall;11335;75
20220784;2022_Fall;11102;82
20220784;2023_Spring;11103;79
20220784;2023_Fall;11212;77
20220784;2024_Spring;11323;74
20220784;2024_Fall;14330;72
20230643;2023_Fall;11102;90
20230643;2024_Spring;11103;87
20230643;2024_Fall;11212;85
20230643;2025_Spring;20233;82
20230643;2025_Fall;14260;79
20230711;2023_Fall;11102;88
20230711;2024_Spring;11103;84
20230711;2024_Fall;11212;82
20230711;2025_Spring;14330;78
20230711;2025_Fall;14331;75
20230890;2023_Fall;11102;85
20230890;2024_Spring;11103;82
20230890;2024_Fall;11206;80
20230890;2025_Spring;11335;77
20230890;2025_Fall;11464;74
20240618;2024_Fall;11102;91
20240618;2025_Spring;11103;88
20240618;2025_Fall;11212;86
20240736;2024_Fall;11102;84
20240736;2025_Spring;11103;81
20240736;2025_Fall;11206;79
20240877;2024_Fall;11102;89
20240877;2025_Spring;11103;85
20240877;2025_Fall;11212;83
